Courier Partner,Couriers,Mode,Min weight,Max weight,Zone A,Zone B,Zone C,Zone D,Zone E,Zone F,COD Amount,COD Percentage,DPH Divisor 
Xpressbees,Surface Xpressbees 0.5 K.G,FWD,0,500,37.7,39,45.5,50.7,67.6,67.6,30,2,0
Xpressbees,Surface Xpressbees 0.5 K.G,RTO,0,500,31.2,33.8,39,44.2,61.1,61.1,30,2,0
Xpressbees,Surface Xpressbees 0.5 K.G,DTO,0,500,46.8,49.4,57.2,63.7,87.1,87.1,35.49,2,0
Xpressbees,Surface Xpressbees 0.5 K.G,FWD,+,500,27.3,29.9,36.4,39,58.5,58.5,27.3,2,0
Xpressbees,Surface Xpressbees 0.5 K.G,RTO,+,500,31.2,33.8,39,44.2,61.1,61.1,27.3,2,0
Xpressbees,Surface Xpressbees 0.5 K.G,DTO,+,500,33.8,36.4,45.5,49.4,74.1,74.1,35.49,2,0
Xpressbees,Air Xpressbees 0.5 K.G,FWD,0,500,50.7,62.4,92.3,97.5,119.6,119.6,27.3,2,0
Xpressbees,Air Xpressbees 0.5 K.G,RTO,0,500,37.7,39,58.5,62.4,81.9,81.9,27.3,2,0
Xpressbees,Air Xpressbees 0.5 K.G,DTO,0,500,62.4,75.4,102.7,107.9,132.6,132.6,27.3,2,0
Xpressbees,Air Xpressbees 0.5 K.G,FWD,+,500,49.4,59.8,80.6,84.5,104,104,27.3,2,0
Xpressbees,Air Xpressbees 0.5 K.G,RTO,+,500,46.8,57.2,78,81.9,101.4,101.4,27.3,2,0
Xpressbees,Air Xpressbees 0.5 K.G,DTO,+,500,59.8,72.8,100.1,105.3,130,130,35.49,2,0
Xpressbees,Express Reverse,FWD,0,500,61.1,75.4,102.7,107.9,132.6,132.6,65,2.34,0
Xpressbees,Express Reverse,RTO,0,500,35.1,48.1,74.1,79.3,104,6.5,65,2.34,0
Xpressbees,Express Reverse,DTO,0,500,78,94.9,131.3,137.8,170.3,170.3,65,2.34,0
Xpressbees,Express Reverse,FWD,+,500,59.8,72.8,100.1,105.3,130,130,65,2.34,0
Xpressbees,Express Reverse,RTO,+,500,59.8,72.8,100.1,105.3,130,130,65,2.34,0
Xpressbees,Express Reverse,DTO,+,500,75.4,92.3,128.7,135.2,166.4,166.4,65,2.34,0
Xpressbees,Xpressbees 1 K.G,FWD,0,1000,71.5,76.7,102.7,113.1,135.2,135.2,41.6,2.34,0
Xpressbees,Xpressbees 1 K.G,RTO,0,1000,68.9,75.4,100.1,111.8,132.6,132.6,41.6,2.34,0
Xpressbees,Xpressbees 1 K.G,DTO,0,1000,91,98.8,131.3,145.6,174.2,174.2,41.6,2.34,0
Xpressbees,Xpressbees 1 K.G,FWD,+,1000,66.3,68.9,94.9,105.3,122.2,122.2,41.6,2.34,0
Xpressbees,Xpressbees 1 K.G,RTO,+,1000,66.3,68.9,94.9,105.3,122.2,122.2,41.6,2.34,0
Xpressbees,Xpressbees 1 K.G,DTO,+,1000,83.2,88.4,120.9,135.2,157.3,157.3,41.6,2.34,0
Xpressbees,Xpressbees 2 K.G,FWD,0,2000,93.6,104,117,126.1,154.7,154.7,30,2,0
Xpressbees,Xpressbees 2 K.G,RTO,0,2000,81.9,91,104,111.8,137.8,137.8,30,2,0
Xpressbees,Xpressbees 2 K.G,DTO,0,2000,119.6,132.6,149.5,161.2,198.9,198.9,30,2,0
Xpressbees,Xpressbees 2 K.G,FWD,+,1000,28.6,31.2,37.7,44.2,48.1,48.1,30,2,0
Xpressbees,Xpressbees 2 K.G,RTO,+,1000,28.6,31.2,37.7,44.2,48.1,48.1,30,2,0
Xpressbees,Xpressbees 2 K.G,DTO,+,1000,35.1,39,46.8,54.6,61.1,61.1,30,2,0
Xpressbees,Xpressbees 5 K.G,FWD,0,5000,210.6,236.6,262.6,288.6,321.1,321.1,30,2,0
Xpressbees,Xpressbees 5 K.G,RTO,0,5000,188.5,211.9,234,258.7,287.3,287.3,30,2,0
Xpressbees,Xpressbees 5 K.G,DTO,0,5000,271.7,305.5,339.3,373.1,414.7,414.7,30,2,0
Xpressbees,Xpressbees 5 K.G,FWD,+,1000,27.3,31.2,36.4,42.9,46.8,46.8,30,2,0
Xpressbees,Xpressbees 5 K.G,RTO,+,1000,27.3,31.2,36.4,42.9,46.8,46.8,30,2,0
Xpressbees,Xpressbees 5 K.G,DTO,+,1000,33.8,37.7,45.5,53.3,59.8,59.8,30,2,0
Xpressbees,Xpressbees 10 K.G,FWD,0,10000,301.6,340.6,392.6,418.6,464.1,464.1,30,2,0
Xpressbees,Xpressbees 10 K.G,RTO,0,10000,270.4,305.5,351,375.7,416,416,30,2,0
Xpressbees,Xpressbees 10 K.G,DTO,0,10000,390,440.7,508.3,542.1,600.6,600.6,30,2,0
Xpressbees,Xpressbees 10 K.G,FWD,+,1000,26,28.6,35.1,40.3,45.5,45.5,30,2,0
Xpressbees,Xpressbees 10 K.G,RTO,+,1000,26,28.6,35.1,40.3,45.5,45.5,30,2,0
Xpressbees,Xpressbees 10 K.G,DTO,+,1000,32.5,35.1,44.2,50.7,57.2,57.2,30,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,0,500,22.1,26,31.2,35.1,54.6,54.6,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,0,500,19.89,23.4,28.08,31.59,49.14,49.14,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,501,1000,40.3,46.8,58.5,66.3,96.2,96.2,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,501,1000,36.27,42.12,52.65,59.67,86.58,86.58,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,1001,1500,54.6,61.1,79.3,89.7,127.4,127.4,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,1001,1500,49.14,54.99,71.37,80.73,114.66,114.66,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,1501,2000,61.1,70.2,93.6,107.9,158.6,158.6,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,RTO,1501,2000,54.99,63.18,84.24,97.11,142.74,142.74,32.5,2,0
Shree-Maruti,Shree-Maruti Surface,FWD,2001,3000,75.4,93.6,119.6,143,202.8,202.8,32.5,2,0
